word,meaning,furigana,romaji,level
同感,agreement; same opinion; same feeling; sympathy; concurrence,どうかん,dōkan,N1
風車,1.  windmill; 2.  pinwheel,かざぐるま,kazaguruma,N1
何処か,somewhere; anywhere; in some respects,どこか,dokoka,N1
早める,to hasten; to quicken; to expedite; to precipitate; to accelerate,はやめる,hayameru,N1
賭け,betting; gambling; a gamble,かけ,kake,N1
興じる,to amuse oneself; to make merry,きょうじる,kyōjiru,N1
磁気,magnetism,じき,jiki,N1
若しかして,perhaps; possibly,もしかして,moshikashite,N1
彼方此方,here and there,あちこち,achikochi,N1
視点,opinion; point of view; visual point,してん,shiten,N1
開発,development; exploitation,かいはつ,kaihatsu,N1
彼の,that over there,あの,ano,N1
滞納,non-payment; default,たいのう,tainō,N1
果て,the end; the extremity; the limit(s); the result,はて,hate,N1
長閑,tranquil; calm; quiet,のどか,nodoka,N1
負う,to bear; to owe,おう,ō,N1
首脳,head; brains,しゅのう,shunō,N1
一筋,a line; earnestly; blindly; straightforwardly,ひとすき,hitosuki,N1
落ち着き,calm; composure,おちつき,ochitsuki,N1
業者,trader; merchant,ぎょうしゃ,gyōsha,N1
蛋白質,protein,たんぱくしつ,tanpakushitsu,N1
タイムリー,timely; run-batted-in (baseball); RBI,,taimurī,N1
後悔,regret; repentance,こうかい,kōkai,N1
購読,subscription (e.g. magazine),こうどく,kōdoku,N1
嗜好,taste; liking; preference,しこう,shikō,N1
診療,medical examination and treatment; diagnosis,しんりょう,shinryō,N1
班,group; party; section (mil),はん,han,N1
保管,charge; custody; safekeeping; deposit; storage,ほかん,hokan,N1
スチーム,steam,,suchīmu,N1
配列,arrangement; array (programming),はいれつ,hairetsu,N1
染める,to dye; to colour,そめる,someru,N1
途上,en route; half way,とじょう,tojō,N1
店,store; shop; establishment,てん,ten,N1
刑,penalty; sentence; punishment,けい,kei,N1
野党,opposition party,やとう,yatō,N1
徒歩,walking; going on foot,とほ,toho,N1
伝来,ancestral; hereditary; imported; transmitted; handed down,でんらい,denrai,N1
トーン,tone,,tōn,N1
カメラマン,cameraman,,kameraman,N1
抗議,protest; objection,こうぎ,kōgi,N1
自惚れ,pretension; conceit; hubris,うぬぼれ,unubore,N1
齎らす,to bring; to take; to bring about,もたらす,motarasu,N1
優越,supremacy; predominance; being superior to,ゆうえつ,yūetsu,N1
不服,dissatisfaction; discontent; disapproval; objection; complaint; protest; disagreement,ふふく,fufuku,N1
開催,holding a meeting; open an exhibition,かいさい,kaisai,N1
内閣,cabinet; (government) ministry,ないかく,naikaku,N1
正当,just; justifiable; right; due; proper; equitable; reasonable; legitimate; lawful,せいとう,seitō,N1
垢,dirt; filth,あか,aka,N1
先先月,month before last,せんせんげつ,sensengetsu,N1
怠慢,negligence; procrastination; carelessness,たいまん,taiman,N1
無口,reticence,むくち,mukuchi,N1
ご馳走,feast; treating (someone),ごちそう,gochisō,N1
ポット,pot,,potto,N1
閲覧,inspection; reading,えつらん,etsuran,N1
阻む,to keep someone from doing; to stop; to prevent; to check; to hinder; to obstruct; to oppose; to thwart,はばむ,habamu,N1
使命,mission; errand; message,しめい,shimei,N1
三日月,new moon; crescent moon,みかずき,mikazuki,N1
意地,disposition; spirit; willpower; obstinacy; backbone; appetite,いじ,iji,N1
音,sound; note,ね,ne,N1
造り,make up; structure; physique,つくり,tsukuri,N1
忠告,advice; warning,ちゅうこく,chūkoku,N1
脈,pulse,みゃく,myaku,N1
向上,elevation; rise; improvement; advancement; progress,こうじょう,kōjō,N1
任務,duty; function; office; mission; task,にんむ,ninmu,N1
成熟,maturity; ripeness,せいじゅく,seijuku,N1
余程,very; greatly; much; to a large extent; quite,よっぽど,yoppodo,N1
纏め,settlement; conclusion,まとめ,matome,N1
チャンネル,a channel,,channeru,N1
心掛け,readiness; intention; aim,こころがけ,kokorogake,N1
雑談,chatting; idle talk,ざつだん,zatsudan,N1
箪笥,chest of drawers,たんす,tansu,N1
処分,disposal; dealing; punishment,しょぶん,shobun,N1
風習,custom,ふうしゅう,fūshū,N1
取り引き,transactions; dealings; business,とりひき,torihiki,N1
仕上げ,end; finishing touches; being finished,しあげ,shiage,N1
黴菌,bacteria; germ(s),ばいきん,baikin,N1
側,side; row; surroundings; part; (watch) case,かわ,kawa,N1
瞑る,to close the eyes,つぶる,tsuburu,N1
満月,full moon,まんげつ,mangetsu,N1
不当,injustice; impropriety; unreasonableness; undeservedness; unfair; invalid,ふとう,futō,N1
度忘れ,lapse of memory; forget for a moment,どわすれ,dowasure,N1
行き違い,misunderstanding; estrangement; disagreement; crossing without meeting; going astray,いきちがい,ikichigai,N1
独創,originality,どくそう,dokusō,N1
本名,real name,ほんみょう,honmyō,N1
名誉,honor; credit; prestige,めいよ,meiyo,N1
兆,signs; omen; symptoms,きざし,kizashi,N1
正常,normalcy; normality; normal,せいじょう,seijō,N1
取り締まる,to manage; to control; to supervise,とりしまる,torishimaru,N1
可愛がる,to love; to be affectionate,かわいがる,kawaigaru,N1
この頃,recently,このごろ,konogoro,N1
喧しい,noisy; strict; fussy,やかましい,yakamashii,N1
葬る,to bury; to inter; to entomb; to consign to oblivion; to shelve,ほうむる,hōmuru,N1
印鑑,stamp; seal,いんかん,inkan,N1
大水,flood,おおみず,ōmizu,N1
好況,prosperous conditions; healthy economy,こうきょう,kōkyō,N1
人質,hostage; prisoner,ひとじち,hitojichi,N1
掲載,appearance (e.g. article in paper),けいさい,keisai,N1
規模,scale; scope; plan; structure,きぼ,kibo,N1
疎か,neglect; negligence; carelessness,おろそか,orosoka,N1
見方,viewpoint,みかた,mikata,N1
異議,objection; dissent; protest,いぎ,igi,N1
辞職,resignation,じしょく,jishoku,N1
沿う,to run along; to follow,そう,sō,N1
真ん中,middle; centre; mid-way,まんなか,mannaka,N1
布巾,tea-towel; dish cloth,ふきん,fukin,N1
閉口,shut mouth,へいこう,heikō,N1
如何にも,indeed; really; phrase meaning agreement,いかにも,ikanimo,N1
揺さぶる,to shake; to jolt; to rock; to swing,ゆさぶる,yusaburu,N1
設定,establishment; creation,せってい,settei,N1
絨毯,carpet,じゅうたん,jūtan,N1
背負う,to be burdened with; to carry on back or shoulder,しょう,shō,N1
大胆,bold; daring; audacious,だいたん,daitan,N1
名付ける,to name (someone),なづける,nazukeru,N1
ファイト,fight,,faito,N1
夜中,all night; the whole night,やちゅう,yachū,N1
辛うじて,barely; narrowly; just manage to do st,かろうじて,karōjite,N1
しくじる,to fail; to fall through; to blunder,,shikujiru,N1
模範,exemplar; exemplification; exemplum; model; example,もはん,mohan,N1
余り,not very (this form only used as adverb); not much; remainder; rest; remnant; surplus; balance; excess; rema,あんまり,anmari,N1
ドライ,dry,,dorai,N1
粥,(rice) gruel,かゆ,kayu,N1
若しも,if,もしも,moshimo,N1
先行,preceding; going first,せんこう,senkō,N1
有力,1.  influence; prominence; 2.  potent,ゆうりょく,yūryoku,N1
明瞭,clarity,めいりょう,meiryō,N1
穂,ear (of plant); head (of plant),ほ,ho,N1
横綱,sumo grand champion,よこづな,yokozuna,N1
投入,throw; investment; making (an electrical circuit),とうにゅう,tōnyū,N1
察する,to guess; to sense; to presume; to judge; to sympathize with,さっする,sassuru,N1
公,official; public; formal; open; governmental,おおやけ,ōyake,N1
不良,badness; delinquent; inferiority; failure,ふりょう,furyō,N1
没落,ruin; fall; collapse,ぼつらく,botsuraku,N1
取り組む,to tackle; to wrestle with; to engage in a bout; to come to grips with,とりくむ,torikumu,N1
兎角,anyhow; anyway; somehow or other; generally speaking; in any case; this and that; many; be apt to,とかく,tokaku,N1
審査,judging; inspection; examination; investigation,しんさ,shinsa,N1
上演,performance (e.g. music),じょうえん,jōen,N1
違える,to change,ちがえる,chigaeru,N1
重んじる,to respect; to honor; to esteem; to prize,おもんじる,omonjiru,N1
捗る,to make progress; to move right ahead (with the work); to advance,はかどる,hakadoru,N1
ドリル,drill,,doriru,N1
登校,attendance (at school),とうこう,tōkō,N1
効率,efficiency,こうりつ,kōritsu,N1
懐く,to become emotionally attached,なつく,natsuku,N1
レギュラー,regular,,regyurā,N1
土木,public works,どぼく,doboku,N1
変革,change; reform; revolution; upheaval; (the) Reformation,へんかく,henkaku,N1
大筋,outline; summary,おおすじ,ōsuji,N1
人,man; person; people,じん,jin,N1
何処,where; what place,どこ,doko,N1
フォーム,foam; form,,fōmu,N1
取り巻く,to surround; to circle; to enclose,とりまく,torimaku,N1
確信,conviction; confidence,かくしん,kakushin,N1
軍服,military or naval uniform,ぐんぷく,gunpuku,N1
創造,creation,そうぞう,sōzō,N1
膳,(small) table; tray; meal,ぜん,zen,N1
総,whole; all; general; gross,そう,sō,N1
練る,to knead; to work over; to polish up,ねる,neru,N1
と,1.  if (conjunction); 2.  promoted pawn (shogi) (abbr),,to,N1
朝寝坊,oversleeping; late riser,あさねぼう,asanebō,N1
梅干,dried plum,うめぼし,umeboshi,N1
乗り換え,transfer (trains  buses  etc.),のりかえ,norikae,N1
戸,counter for houses,こ,ko,N1
風土,natural features; topography; climate; spiritual features,ふうど,fūdo,N1
先に,before; earlier than; ahead; beyond; away; previously; recently,さきに,sakini,N1
膜,membrane; film,まく,maku,N1
先だって,recently; the other day,せんだって,sendatte,N1
馬鹿馬鹿しい,stupid,ばかばかしい,bakabakashii,N1
お蔭,(your) backing; assistance,おかげ,okage,N1
手本,model; pattern,てほん,tehon,N1
コーナー,corner,,kōnā,N1
福,good fortune,ふく,fuku,N1
巧妙,ingenious; skillful; clever; deft,こうみょう,kōmyō,N1
無言,silence,むごん,mugon,N1
移民,emigration; immigration; emigrant; immigrant,いみん,imin,N1
バー,bar,,bā,N1
専修,specialization,せんしゅう,senshū,N1
タイマー,timer,,taimā,N1
本体,substance; real form; object of worship,ほんたい,hontai,N1
育ち,breeding; growth,そだち,sodachi,N1
報酬,remuneration; recompense; reward; toll,ほうしゅう,hōshū,N1
緩和,relief; mitigation,かんわ,kanwa,N1
出血,bleeding; haemorrhage,しゅっけつ,shukketsu,N1
意向,intention; idea; inclination,いこう,ikō,N1
諸君,Gentlemen!; Ladies!,しょくん,shokun,N1
自在,freely; at will,じざい,jizai,N1
貴女,you; lady,あなた,anata,N1
五月蝿い,noisy; loud; fussy,うるさい,urusai,N1
排除,exclusion; removal; rejection,はいじょ,haijo,N1
負傷,injury; wound,ふしょう,fushō,N1
遅れ,delay; lag,おくれ,okure,N1
一々,one by one; separately,いちいち,ichiichi,N1
お菜,side dish; accompaniment for rice dishes,おかず,okazu,N1
お使い,errand,おつかい,otsukai,N1
手分け,division of labour,てわけ,tewake,N1
即座に,immediately; right away,そくざに,sokuzani,N1
叫び,shout; scream; outcry,さけび,sakebi,N1
年生,pupil in .... year; student in .... year,ねんせい,nensei,N1
放り出す,to throw out; to fire; to expel; to give up; to abandon; to neglect,ほうりだす,hōridasu,N1
箇条書き,itemized form; itemization,かじょうがき,kajōgaki,N1
開拓,reclamation (of wasteland); cultivation; pioneer,かいたく,kaitaku,N1
鉱山,mine (ore),こうざん,kōzan,N1
何々,which (emphatic),どれどれ,doredore,N1
経過,passage; expiration; progress,けいか,keika,N1
挑む,to challenge; to contend for; to make love to,いどむ,idomu,N1
ドライクリーニング,dry cleaning,,doraikurīningu,N1
箇所,passage; place; point; part,かしょ,kasho,N1
志望,wish; desire; ambition,しぼう,shibō,N1
負担,burden; charge; responsibility,ふたん,futan,N1
大衆,general public,たいしゅう,taishū,N1
現われる,to appear; to come in sight; to become visible; to come out; to embody; to materialize; to express oneself,あらわれる,arawareru,N1
妬む,to be jealous; to be envious,ねたむ,netamu,N1
味覚,taste; palate; sense of taste,みかく,mikaku,N1
究極,ultimate; final; eventual,きゅうきょく,kyūkyoku,N1
誤魔化す,to deceive; to falsify; to misrepresent,ごまかす,gomakasu,N1
曖昧,vague; ambiguous,あいまい,aimai,N1
本気,seriousness; truth; sanctity,ほんき,honki,N1
伊井,that one; Italy,いい,ii,N1
煌びやか,gorgeous; gaudy; dazzling; gay,きらびやか,kirabiyaka,N1
溜まり,collected things; gathering place; arrears,たまり,tamari,N1
謝絶,refusal,しゃぜつ,shazetsu,N1
植わる,to be planted,うわる,uwaru,N1
雑,rough; crude,ざつ,zatsu,N1
持ち切り,hot topic; talk of the town,もちきり,mochikiri,N1
農耕,farming; agriculture,のうこう,nōkō,N1
暴動,insurrection; rebellion; revolt; riot; uprising,ぼうどう,bōdō,N1
宝器,treasured article or vessel; outstanding individual,ほうき,hōki,N1
最善,the very best,さいぜん,saizen,N1
城下,land near the castle,じょうか,jōka,N1
愛憎,likes and dislikes,あいにく,ainiku,N1
結束,union; unity,けっそく,kessoku,N1
若干,some; few; number of,じゃっかん,jakkan,N1
遠ざかる,to go far off,とおざかる,tōzakaru,N1
継ぎ目,a joint; joining point,つぎめ,tsugime,N1
ほっと,feel relieved,,hotto,N1
産婦人科,maternity and gynecology department,さんふじんか,sanfujinka,N1
免れる,to escape from; to be rescued from; to avoid; to evade; to avert; to elude; to be exempted; to be relieved,まぬかれる,manukareru,N1
第,ordinal,だい,dai,N1
漏らす,to let leak; to reveal,もらす,morasu,N1
意図,intention; aim; design,いと,ito,N1
無断,without permission; without notice,むだん,mudan,N1
出演,performance; stage appearance,しゅつえん,shutsuen,N1
暇,free time; leisure; leave; spare time; farewell,いとま,itoma,N1
奨励,encouragement; promotion; message; address,しょうれい,shōrei,N1
部下,subordinate person,ぶか,buka,N1
剃る,to shave,する,suru,N1
舞う,to dance; to flutter about; to revolve,まう,mau,N1
運営,management; administration; operation,うんえい,un'ei,N1
華やか,gay; showy; brilliant; gorgeous; florid,はなやか,hanayaka,N1
実質,substance; essence,じっしつ,jisshitsu,N1
切っ掛け,chance; start; cue; excuse; motive; impetus; occasion,きっかけ,kikkake,N1
視察,inspection; observation,しさつ,shisatsu,N1
屈折,bending; indentation; refraction,くっせつ,kussetsu,N1
大部,most (e.g. most part); greater; fairly; a good deal; much,たいぶ,taibu,N1
静止,stillness; repose; standing still,せいし,seishi,N1
家計,household economy; family finances,かけい,kakei,N1
作物,literary work,さくぶつ,sakubutsu,N1
投げ出す,to throw down; to abandon; to sacrifice; to throw out,なげだす,nagedasu,N1
詐欺,fraud; swindle,さぎ,sagi,N1
此れ,this,これ,kore,N1
箇箇,individual; separate,ここ,koko,N1
保守,conservative; maintaining,ほしゅ,hoshu,N1
時差,time difference,じさ,jisa,N1
管,pipe; tube,かん,kan,N1
変動,change; fluctuation,へんどう,hendō,N1
問う,to ask; to question; to charge (i.e. with a crime); to accuse; without regard to (neg),とう,tō,N1
継ぐ,to succeed,つぐ,tsugu,N1
打開,break in the deadlock,だかい,dakai,N1
待遇,treatment; reception,たいぐう,taigū,N1
活ける,to arrange (flowers),いける,ikeru,N1
仕入れる,to lay in stock; to replenish stock; to procure,しいれる,shiireru,N1
ミリ,milli-; 10^-3,,miri,N1
判定,judgement; decision; award; verdict,はんてい,hantei,N1
前提,preamble; premise; reason; prerequisite,ぜんてい,zentei,N1
弛み,slack; slackening; dullness; letdown,たるみ,tarumi,N1
跡継ぎ,heir; successor,あとつぎ,atotsugi,N1
誘惑,temptation; allurement; lure,ゆうわく,yūwaku,N1
背く,to run counter to; to go against; to disobey; to infringe,そむく,somuku,N1
遭難,disaster; shipwreck; accident,そうなん,sōnan,N1
手遅れ,too late; belated treatment,ておくれ,teokure,N1
束縛,restraint; shackles; restriction; confinement; binding,そくばく,sokubaku,N1
蝶,butterfly,ちょう,chō,N1
頻りに,frequently; repeatedly; incessantly; eagerly,しきりに,shikirini,N1
拐う,to carry off; to run away with; to kidnap; to abduct,さらう,sarau,N1
酷い,cruel; awful; severe; very bad; serious; terrible; heavy; violent,ひどい,hidoi,N1
丁々,clashing of swords; felling of trees; ringing of an ax,とうとう,tōtō,N1
自信,self-confidence,じしん,jishin,N1
決行,doing (with resolve); carrying out (i.e. a plan),けっこう,kekkō,N1
措置,measure; step,そち,sochi,N1
どうやら,it seems like; somehow or other,,dōyara,N1
明白,obvious; overt; plainly; frankly,あからさま,akarasama,N1
向き,direction; situation; exposure; aspect; suitability,むき,muki,N1
インフレ,inflation,,infure,N1
切れ目,break; pause; gap; end; rift; interruption; cut; section; notch; incision; end (of a task),きれめ,kireme,N1
諮る,to consult with; to confer,はかる,hakaru,N1
得点,score; points made; marks obtained; runs,とくてん,tokuten,N1
憤慨,indignation; resentment,ふんがい,fungai,N1
獲物,game; spoils; trophy,えもの,emono,N1
主人公,protagonist; main character; hero(ine) (of a story); head of household,しゅじんこう,shujinkō,N1
浴室,bathroom; bath,よくしつ,yokushitsu,N1
施設,institution; establishment; facility; (army) engineer,しせつ,shisetsu,N1
不意,sudden; abrupt; unexpected; unforeseen,ふい,fui,N1
偏る,to be one-sided; to incline; to be partial; to be prejudiced; to lean; to be biased,かたよる,katayoru,N1
初,first; new,はつ,hatsu,N1
御,go-; honourable,ご,go,N1
コントラスト,contrast,,kontorasuto,N1
相対,confrontation; facing; between ourselves; no third party; tete-a-tete,あいたい,aitai,N1
壷,tsubo jar; pot; vase,つぼ,tsubo,N1
産む,to give birth; to deliver; to produce,うむ,umu,N1
磁器,porcelain; china,じき,jiki,N1
変遷,change; transition; vicissitudes,へんせん,hensen,N1
毟る,to pluck; to pick; to tear,むしる,mushiru,N1
料,material; charge; rate; fee,りょう,ryō,N1
落ち込む,to fall into; to feel down (sad),おちこむ,ochikomu,N1
控室,waiting room,ひかえしつ,hikaeshitsu,N1
おおい,hey!,,ōi,N1
持続,continuation,じぞく,jizoku,N1
貫禄,presence; dignity,かんろく,kanroku,N1
児,child; the young of animals,こ,ko,N1
良い,good,いい,ii,N1
本格,propriety; fundamental rules,ほんかく,honkaku,N1
為さる,to do,なさる,nasaru,N1
栽培,cultivation,さいばい,saibai,N1
配給,distribution (eg. films  rice),はいきゅう,haikyū,N1
手当て,allowance; compensation; treatment; medical care,てあて,teate,N1
細胞,cell (biology),さいぼう,saibō,N1
議案,legislative bill,ぎあん,gian,N1
演じる,to perform (a play); to play (a part); to act (a part); to commit (a blunder),えんじる,enjiru,N1
実業家,industrialist; businessman,じつぎょうか,jitsugyōka,N1
軍艦,warship; battleship,ぐんかん,gunkan,N1
恥,shame; embarrassment,はじ,haji,N1
勤まる,to be fit for; to be equal to; to function properly,つとまる,tsutomaru,N1
名高い,famous; celebrated; well-known,なだかい,nadakai,N1
前置き,preface; introduction,まえおき,maeoki,N1
灰皿,ashtray,はいさら,haisara,N1
模倣,imitation; copying,もほう,mohō,N1
填まる,to get into; to go into; to fit; to be fit for; to suit; to fall into; to plunge into; to be deceived; to be,はまる,hamaru,N1
加留多,(pt:) (n) playing cards (pt: carta),かるた,karuta,N1
だらけ,implying (negatively) that something is full of  e.g. mistakes,,darake,N1
返答,reply,へんとう,hentō,N1
藻掻く,to struggle; to wriggle; to be impatient,もがく,mogaku,N1
下吏,lower official,かり,kari,N1
格,status; character; case,かく,kaku,N1
出社,arrival (in a country  at work  etc.),しゅっしゃ,shussha,N1
ボルト,volt; bolt,,boruto,N1
奮闘,hard struggle; strenuous effort,ふんとう,funtō,N1
創刊,launching (e.g. newspaper); first issue,そうかん,sōkan,N1
取り立てる,to collect; to extort; to appoint; to promote,とりたてる,toritateru,N1
再現,reappearance; reproduction; return; revival,さいげん,saigen,N1
員,member,いん,in,N1
引き受ける,to undertake; to take up; to take over; to be responsible for; to guarantee; to contract (disease),ひきうける,hikiukeru,N1
長,chief; head,おさ,osa,N1
介護,nursing,かいご,kaigo,N1
あられ,kind of cookie; cartoon character,,arare,N1
庶民,masses; common people,しょみん,shomin,N1
面する,to face on; to look out on to,めんする,mensuru,N1
天才,genius; prodigy; natural gift,てんさい,tensai,N1
仕様,way; method; resource; remedy; (technical) specification,しよう,shiyō,N1
制定,enactment; establishment; creation,せいてい,seitei,N1
処罰,punishment,しょばつ,shobatsu,N1
部,department; part; category; counter for copies of a newspaper or magazine,ぶ,bu,N1
徹する,to sink in; to penetrate; to devote oneself; to believe in; to go through; to do intently and exclusively,てっする,tessuru,N1
含嗽,gargle; rinse mouth,うがい,ugai,N1
鉛,lead (the metal),なまり,namari,N1
根本,origin; source; foundation; root; base; principle,こんぽん,konpon,N1
